Date_Time,lights,Monitor 1 Spider 1,Monitor 1 Spider 2,Monitor 1 Spider 3,Monitor 1 Spider 4,Monitor 1 Spider 5,Monitor 1 Spider 6,Monitor 1 Spider 7,Monitor 1 Spider 8,Monitor 1 Spider 9,Monitor 1 Spider 10,Monitor 1 Spider 11,Monitor 1 Spider 12,Monitor 1 Spider 13,Monitor 1 Spider 14,Monitor 1 Spider 15,Monitor 1 Spider 16,Monitor 1 Spider 17,Monitor 1 Spider 18,Monitor 1 Spider 19,Monitor 1 Spider 20,Monitor 1 Spider 21,Monitor 1 Spider 22,Monitor 1 Spider 23,Monitor 1 Spider 24,Monitor 1 Spider 25,Monitor 1 Spider 26,Monitor 1 Spider 27,Monitor 1 Spider 28,Monitor 1 Spider 29,Monitor 1 Spider 30,Monitor 1 Spider 31,Monitor 1 Spider 32
2017-04-21 02:20:00,0,0,0,0,4,14,7,0,0,0,0,0,3,8,0,5,0,0,9,0,8,0,0,4,1,0,0,0,1,0,0,0,0
2017-04-21 02:21:00,0,0,0,0,4,8,1,0,54,0,0,0,19,9,0,0,0,0,0,0,13,0,0,1,0,0,0,0,2,0,0,0,0
2017-04-21 02:22:00,0,0,0,0,10,10,0,0,12,0,0,0,6,0,0,4,0,0,0,0,2,4,0,4,2,0,0,0,4,0,0,0,0
2017-04-21 02:23:00,0,0,0,0,5,5,0,0,0,0,0,0,40,32,0,2,0,0,0,0,2,0,0,5,0,0,0,0,4,0,0,0,0
2017-04-21 02:24:00,0,0,0,0,13,0,0,0,10,0,0,0,21,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,1,0,0,0,0
2017-04-21 02:25:00,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,4,0,0,0,0,5,0,0,0,0
2017-04-21 02:26:00,0,0,0,0,7,0,0,0,2,0,0,0,3,2,0,4,0,0,0,0,24,2,0,5,2,0,0,0,3,0,0,0,0
2017-04-21 02:27:00,0,0,0,0,3,0,7,0,1,0,0,0,0,0,0,2,0,0,0,0,22,7,0,8,2,0,0,0,3,0,0,0,0
2017-04-21 02:28:00,0,0,0,0,0,0,7,0,2,0,0,0,0,2,0,0,0,0,0,0,11,3,0,0,1,0,0,0,1,0,0,0,0
2017-04-21 02:29:00,0,0,0,0,20,0,0,0,14,0,0,0,3,7,0,28,0,0,0,0,0,3,0,6,1,0,0,0,6,0,0,0,0
