Index,Day,Time,Light,Sp4,Sp5,Sp9,Sp10,Sp11,Sp12,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp21,Sp25
19869,1,2024-05-01 10:51:00,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19870,1,2024-05-01 10:52:00,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
19871,1,2024-05-01 10:53:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19872,1,2024-05-01 10:54:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19873,1,2024-05-01 10:55:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19874,1,2024-05-01 10:56:00,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0
19875,1,2024-05-01 10:57:00,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0
19876,1,2024-05-01 10:58:00,1,2,0,0,0,0,8,0,0,0,0,0,0,0,0
19877,1,2024-05-01 10:59:00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19878,1,2024-05-01 11:00:00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19879,1,2024-05-01 11:01:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19880,1,2024-05-01 11:02:00,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19881,1,2024-05-01 11:03:00,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
19882,1,2024-05-01 11:04:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19883,1,2024-05-01 11:05:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19884,1,2024-05-01 11:06:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19885,1,2024-05-01 11:07:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19886,1,2024-05-01 11:08:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19887,1,2024-05-01 11:09:00,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
19888,1,2024-05-01 11:10:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19889,1,2024-05-01 11:11:00,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
19890,1,2024-05-01 11:12:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19891,1,2024-05-01 11:13:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19892,1,2024-05-01 11:14:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19893,1,2024-05-01 11:15:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19894,1,2024-05-01 11:16:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19895,1,2024-05-01 11:17:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19896,1,2024-05-01 11:18:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19897,1,2024-05-01 11:19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19898,1,2024-05-01 11:20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19899,1,2024-05-01 11:21:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19900,1,2024-05-01 11:22:00,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0
19901,1,2024-05-01 11:23:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19902,1,2024-05-01 11:24:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19903,1,2024-05-01 11:25:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19904,1,2024-05-01 11:26:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19905,1,2024-05-01 11:27:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19906,1,2024-05-01 11:28:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19907,1,2024-05-01 11:29:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19908,1,2024-05-01 11:30:00,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0
19909,1,2024-05-01 11:31:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910,1,2024-05-01 11:32:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19911,1,2024-05-01 11:33:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19912,1,2024-05-01 11:34:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19913,1,2024-05-01 11:35:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19914,1,2024-05-01 11:36:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19915,1,2024-05-01 11:37:00,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0
19916,1,2024-05-01 11:38:00,1,0,0,0,0,0,11,0,0,0,0,0,5,0,0
19917,1,2024-05-01 11:39:00,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0
19918,1,2024-05-01 11:40:00,1,0,0,0,0,0,16,0,0,0,0,0,1,0,0
19919,1,2024-05-01 11:41:00,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
19920,1,2024-05-01 11:42:00,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
19921,1,2024-05-01 11:43:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19922,1,2024-05-01 11:44:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19923,1,2024-05-01 11:45:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19924,1,2024-05-01 11:46:00,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
19925,1,2024-05-01 11:47:00,1,0,0,0,0,0,12,0,0,0,0,0,3,0,0
19926,1,2024-05-01 11:48:00,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
19927,1,2024-05-01 11:49:00,1,0,0,0,0,0,5,0,0,0,0,0,2,0,0
19928,1,2024-05-01 11:50:00,1,0,0,0,0,0,7,0,0,0,0,0,1,0,0
19929,1,2024-05-01 11:51:00,1,0,0,0,0,0,7,0,0,0,0,0,1,0,0
19930,1,2024-05-01 11:52:00,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
19931,1,2024-05-01 11:53:00,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0
19932,1,2024-05-01 11:54:00,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
19933,1,2024-05-01 11:55:00,1,0,0,0,4,0,0,0,0,2,0,0,1,0,0
19934,1,2024-05-01 11:56:00,1,0,0,0,9,0,0,0,0,2,0,0,0,0,0
